Start Hour,Probability
0,0.03879667231794346
1,0.029491779363639947
2,0.018097228245869967
3,0.01774238063320585
4,0.030595749714150536
5,0.038244687142688166
6,0.04021606276859993
7,0.028387809013129362
8,0.02535189054922525
9,0.029334069313567007
10,0.030595749714150536
11,0.030240902101486417
12,0.03311911051531759
13,0.03568189882900288
14,0.03986121515593581
15,0.045854197058707566
16,0.054291684737609903
17,0.053818554587391085
18,0.0507037810984505
19,0.057524740764105194
20,0.07081181248275047
21,0.06998383471986752
22,0.06600165595552576
23,0.06525253321767929
